year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,Position,Streams,spotify date,spins,radio_rank,chartmetric date
2021,2021-01-09,16,kings and queens,ava max,0,english,312,0,0,NA,201,1569731,NA,6264,6,2020-12-31
2021,2021-01-09,60,love you like i used to,russell dickerson,0,english,301,0,0,NA,201,1569731,NA,2581,35,2020-12-31
2021,2021-01-09,81,midnight sky,miley cyrus,0,english,404,0,0,NA,201,1569731,NA,244,501,NA
2021,2021-01-09,88,monsters,all time low,0,english,458,0,0,NA,201,1569731,NA,1301,94,2020-12-31
2021,2021-01-09,40,pretty heart,parker mccollum,0,english,271,0,0,NA,201,1569731,NA,2300,47,2020-12-31
2021,2021-01-09,71,redman,lil durk,0,english,282,0,0,1,201,1569731,NA,244,501,NA
2021,2021-01-09,86,refugee,lil durk,0,english,324,0,0,1,201,1569731,NA,244,501,NA
2021,2021-01-09,31,savage love,jawsh 685,0,english,335,0,0,1,201,1569731,NA,3395,18,2020-12-31
2021,2021-01-09,95,save your tears,the weeknd,0,english,267,0,0,NA,201,1569731,NA,1731,71,2020-12-31
2021,2021-01-09,73,stay down,lil durk,0,english,540,3,0.56,1,201,1569731,NA,516,214,2020-12-31
2021,2021-01-09,73,stay down,lil durk,0,english,540,3,0.56,1,201,1569731,NA,813,152,2020-12-31
2021,2021-01-09,89,take me home for christmas,dan and shay,0,english,307,0,0,NA,201,1569731,NA,244,501,NA
2021,2021-01-09,79,take you dancing,jason derulo,0,english,525,0,0,NA,201,1569731,NA,1754,67,2020-12-31
2021,2021-01-09,100,the good ones,gabby barrett,0,english,290,0,0,NA,201,1569731,NA,1098,105,2020-12-31
2021,2021-01-09,66,throat baby,brs kash,0,english,803,4,0.5,NA,201,1569731,NA,2079,57,2020-12-31
2021,2021-01-09,80,what's your country song,thomas rhett,0,english,274,0,0,NA,201,1569731,NA,244,501,NA
2021,2021-01-09,69,you're mines still,yung bleu,0,english,468,0,0,NA,201,1569731,NA,244,501,NA
2021,2021-01-16,76,aint always the cowboy,jon pardi,0,english,224,0,0,1,201,1370589,NA,1134,110,2021-01-07
2021,2021-01-16,95,almost maybes,jordan davis,0,english,375,0,0,NA,201,1370589,NA,1388,94,2021-01-07
2021,2021-01-16,93,back in blood,pooh shiesty,0,english,716,0,0,NA,201,1370589,NA,259,501,NA
2021,2021-01-16,63,back to the streets,saweetie,0,english,526,0,0,NA,201,1370589,NA,3039,28,2021-01-07
2021,2021-01-16,74,backdoor,lil durk,0,english,546,1,0.18,NA,201,1370589,NA,259,501,NA
2021,2021-01-16,9,bang,ajr,0,english,362,0,0,NA,201,1370589,NA,312,387,2021-01-07
2021,2021-01-16,9,bang,ajr,0,english,362,0,0,NA,201,1370589,NA,5642,8,2021-01-07
2021,2021-01-16,64,beers and sunshine,darius rucker,0,english,301,0,0,NA,201,1370589,NA,2714,37,2021-01-07
2021,2021-01-16,49,"big, big plans",chris lane,0,english,424,0,0,1,201,1370589,NA,3082,27,2021-01-07
