year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,position,streams,spotify date,spins,radio_rank
2020,2020-01-04,32,here comes santa claus (right down santa claus lane),gene autry,0,english,243,0,0,1,201,1899349,2019-12-26,196,501
2020,2020-01-04,33,hot,young thug,0,english,572,0,0,NA,130,2385086,2019-12-26,2223,40
2020,2020-01-04,33,hot,young thug,0,english,572,0,0,NA,63,3441127,2019-12-26,2223,40
2020,2020-01-04,34,old town road,lil nas x,0,english,310,0,0,NA,167,2052884,2019-12-26,333,294
2020,2020-01-04,35,truth hurts,lizzo,0,english,428,0,0,NA,64,3411735,2019-12-26,4159,8
2020,2020-01-04,36,run rudolph run,chuck berry,0,english,208,0,0,NA,41,4498397,2019-12-26,196,501
2020,2020-01-04,37,theres no place like home for the holidays,perry como,0,english,212,0,0,1,201,1899349,2019-12-26,196,501
2020,2020-01-04,38,highest in the room,travis scott,0,english,360,3,0.83,NA,17,5990239,2019-12-26,2961,18
2020,2020-01-04,39,heartless,the weeknd,0,english,378,0,0,NA,194,1924940,2019-12-26,3791,11
2020,2020-01-04,39,heartless,the weeknd,0,english,378,0,0,NA,33,4852319,2019-12-26,3791,11
2020,2020-01-04,40,blue christmas,elvis presley,0,english,86,0,0,1,35,4735821,2019-12-26,196,501
2020,2020-01-04,41,everything i wanted,billie eilish,0,english,305,0,0,NA,22,5597652,2019-12-26,2045,44
2020,2020-01-04,42,white christmas,bing crosby,0,english,108,0,0,NA,23,5573038,2019-12-26,196,501
2020,2020-01-04,43,jingle bells,frank sinatra,0,english,249,0,0,1,157,2161194,2019-12-26,196,501
2020,2020-01-04,44,like its christmas,jonas brothers,0,english,240,0,0,1,65,3408308,2019-12-26,196,501
2020,2020-01-04,45,baby its cold outside,dean martin,0,english,342,0,0,1,59,3590800,2019-12-26,196,501
2020,2020-01-04,46,trampoline,shaed,0,english,218,0,0,NA,201,1899349,2019-12-26,5019,7
2020,2020-01-04,47,woah,lil baby,0,english,664,1,0.15,NA,54,3760017,2019-12-26,1392,66
2020,2020-01-04,48,futsal shuffle 2020,lil uzi vert,0,english,762,2,0.26,NA,6,7959941,2019-12-26,196,501
2020,2020-01-04,49,youre a mean one mr grinch,thurl ravenscroft,0,english,336,0,0,1,118,2482443,2019-12-26,196,501
2020,2020-01-04,50,ransom,lil tecca,0,english,407,0,0,NA,148,2247602,2019-12-26,431,225
