"year","date","rank","song","artist","binary","language","total_words","non_e_words","percent","unique","position","streams","spins","radio_rank"
2020,2020-04-11,18,"savage","megan thee stallion",0,"english",410,0,0,0,9,5816607,490,210
2020,2020-04-11,19,"blueberry faygo","lil mosey",0,"english",549,0,0,0,3,9374246,560,185
2020,2020-04-11,20,"dance monkey","tones and i",0,"english",434,0,0,0,26,4252782,2412,32
2020,2020-04-11,21,"break my heart","dua lipa",0,"english",505,0,0,0,14,5116888,1101,85
2020,2020-04-11,22,"i hope","gabby barrett",0,"english",471,0,0,0,156,1679582,2546,24
2020,2020-04-11,23,"believe it","partynextdoor",0,"english",387,0,0,1,13,5176368,400,261
2020,2020-04-11,24,"ballin","dj mustard",0,"english",577,5,0.87,0,33,3591196,3152,17
2020,2020-04-11,25,"falling","trevor daniel",0,"english",328,0,0,0,115,1986719,2026,48
2020,2020-04-11,26,"ritmo bad boys for life","black eyed peas",0,"english",600,281,46.83,0,201,1489100,214,501
2020,2020-04-11,27,"stupid love","lady gaga",0,"english",335,0,0,0,131,1899768,3144,18
2020,2020-04-11,28,"10000 hours","dan and shay",0,"english",319,0,0,0,56,2683942,2267,34
2020,2020-04-11,29,"bop","dababy",0,"english",708,0,0,0,41,3235174,2866,22
2020,2020-04-11,30,"heart on ice","rod wave",0,"english",262,0,0,0,69,2427465,384,271
2020,2020-04-11,31,"high fashion","roddy ricch",0,"english",629,4,0.64,0,15,4997284,1455,70
2020,2020-04-11,32,"nobody but you","blake shelton",0,"english",352,0,0,0,201,1489100,2479,30
2020,2020-04-11,33,"suicidal","ynw melly",0,"english",442,0,0,0,48,2927508,214,501
2020,2020-04-11,34,"you should be sad","halsey",0,"english",391,0,0,0,62,2556721,2529,25
2020,2020-04-11,35,"no guidance","chris brown",0,"english",612,0,0,0,144,1756040,2184,40
2020,2020-04-11,36,"chasin you","morgan wallen",0,"english",325,0,0,0,125,1929501,2213,37
2020,2020-04-11,37,"slow dance in a parking lot","jordan davis",0,"english",277,0,0,1,201,1489100,214,501
2020,2020-04-11,38,"homesick","kane brown",0,"english",274,0,0,0,201,1489100,1972,50
2020,2020-04-11,39,"roses","saint jhn",0,"english",346,0,0,0,7,6173107,384,272
2020,2020-04-11,40,"catch","brett young",0,"english",365,0,0,0,201,1489100,2571,23
2020,2020-04-11,41,"i love me","demi lovato",0,"english",472,0,0,0,102,2046961,2515,26
2020,2020-04-11,42,"in your eyes","the weeknd",0,"english",325,0,0,0,11,5624038,1288,75
2020,2020-04-11,43,"death bed","powfu",0,"english",457,0,0,0,12,5520943,598,175
2020,2020-04-11,44,"more hearts than mine","ingrid andress",0,"english",305,0,0,0,201,1489100,2185,39
2020,2020-04-11,45,"slide","her",0,"english",560,6,1.07,0,201,1489100,3007,20
2020,2020-04-11,46,"woah","lil baby",0,"english",664,1,0.15,0,60,2621048,1562,62
2020,2020-04-11,47,"godzilla","eminem",0,"english",952,1,0.11,0,27,4195831,432,241
2020,2020-04-11,48,"best on earth","russ",0,"english",485,0,0,0,201,1489100,3142,19
2020,2020-04-11,49,"whats poppin","jack harlow",0,"english",529,2,0.38,0,8,6101909,451,234
2020,2020-04-11,50,"what she wants tonight","luke bryan",0,"english",377,0,0,0,201,1489100,2505,29
2020,2020-04-11,51,"homemade","jake owen",0,"english",281,0,0,0,201,1489100,2093,46
2020,2020-04-11,52,"sunday best","surfaces",0,"english",236,0,0,0,17,4989146,1054,91
2020,2020-04-11,53,"yo perreo sola","bad bunny",1,"spanish",397,397,100,1,52,2709424,214,501
2020,2020-04-11,54,"dior","pop smoke",0,"english",472,0,0,0,167,1616744,748,137
2020,2020-04-11,55,"sum 2 prove","lil baby",0,"english",901,1,0.11,0,71,2374472,653,156
2020,2020-04-11,56,"beer cant fix","thomas rhett",0,"english",336,0,0,0,201,1489100,2182,42
2020,2020-04-11,57,"walk em down","nle choppa",0,"english",563,1,0.18,0,20,4813452,214,501
2020,2020-04-11,58,"i hope youre happy now","carly pearce",0,"english",224,0,0,0,201,1489100,1656,57
2020,2020-04-11,59,"does to me","luke combs",0,"english",384,0,0,0,201,1489100,1878,52
2020,2020-04-11,60,"loyal","partynextdoor",0,"english",334,0,0,1,164,1632163,752,136
2020,2020-04-11,61,"after hours","the weeknd",0,"english",436,0,0,0,22,4679212,214,501
2020,2020-04-11,62,"supalonely","benee",0,"english",391,0,0,0,24,4522075,818,122
2020,2020-04-11,63,"myron","lil uzi vert",0,"english",790,0,0,0,28,4192360,214,501
2020,2020-04-11,64,"tusa","karol g",1,"spanish",431,312,72.39,0,153,1690455,214,501
2020,2020-04-11,65,"pussy fairy","jhene aiko",0,"english",351,0,0,0,201,1489100,455,232
2020,2020-04-11,66,"before you go","lewis capaldi",0,"english",323,0,0,0,95,2111638,1404,72
2020,2020-04-11,67,"come thru","summer walker",0,"english",422,0,0,0,201,1489100,2355,33
2020,2020-04-11,68,"heartless","diplo",0,"english",386,0,0,0,162,1634745,214,501
2020,2020-04-11,69,"underdog","alicia keys",0,"english",372,0,0,1,201,1489100,214,501
2020,2020-04-11,70,"the other side","sza",0,"english",364,0,0,0,201,1489100,2511,28
2020,2020-04-11,71,"know your worth","khalid",0,"english",292,0,0,0,116,1983183,2107,44
2020,2020-04-11,72,"out west","jackboys",0,"english",492,0,0,0,54,2696930,808,124
2020,2020-04-11,73,"emotionally scarred","lil baby",0,"english",735,0,0,0,201,1489100,214,501
2020,2020-04-11,74,"oprahs bank account","lil yachty",0,"english",711,0,0,0,37,3387887,808,123
2020,2020-04-11,75,"p2","lil uzi vert",0,"english",609,0,0,0,23,4652546,214,501
2020,2020-04-11,76,"bitch","megan thee stallion",0,"english",700,0,0,0,201,1489100,1550,63
2020,2020-04-11,77,"physical","dua lipa",0,"english",316,0,0,0,32,3643035,214,501
2020,2020-04-11,78,"after a few","travis denning",0,"english",312,0,0,0,201,1489100,1856,53
2020,2020-04-11,79,"that way","lil uzi vert",0,"english",524,0,0,0,30,4157259,214,501
2020,2020-04-11,80,"bs","jhene aiko",0,"english",469,0,0,0,84,2233281,214,501
2020,2020-04-11,81,"i love my country","florida georgia line",0,"english",348,0,0,0,201,1489100,952,104
2020,2020-04-11,82,"grace","lil baby",0,"english",815,0,0,0,201,1489100,214,501
2020,2020-04-11,83,"make no sense","youngboy never broke again",0,"english",506,0,0,0,129,1910214,1201,79
2020,2020-04-11,84,"yummy","justin bieber",0,"english",445,2,0.45,0,133,1848998,346,297
2020,2020-04-11,85,"save your tears","the weeknd",0,"english",267,0,0,0,38,3372295,214,501
2020,2020-04-11,86,"safaera","bad bunny",1,"spanish",711,711,100,0,46,3001310,214,501
2020,2020-04-11,87,"la dificil","bad bunny",1,"spanish",311,311,100,0,59,2626999,214,501
2020,2020-04-11,88,"ridin roads","dustin lynch",0,"english",367,0,0,0,201,1489100,1306,74
2020,2020-04-11,89,"si veo a tu mama","bad bunny",1,"spanish",309,309,100,0,65,2478606,214,501
2020,2020-04-11,90,"the man","taylor swift",0,"english",418,0,0,0,201,1489100,1824,54
2020,2020-04-11,91,"hard to forget","sam hunt",0,"english",410,0,0,0,201,1489100,530,196
2020,2020-04-11,92,"go stupid","polo g",0,"english",770,3,0.39,0,34,3444160,214,501
2020,2020-04-11,93,"last time i say sorry","kane brown",0,"english",349,0,0,0,201,1489100,214,501
2020,2020-04-11,94,"what a man gotta do","jonas brothers",0,"english",401,0,0,0,201,1489100,472,220
2020,2020-04-11,95,"heatin up","lil baby",0,"english",720,6,0.83,0,91,2170161,214,501
2020,2020-04-11,96,"if the world was ending","jp saxe",0,"english",464,0,0,0,57,2646427,450,235
2020,2020-04-11,97,"vete","bad bunny",1,"spanish",376,376,100,0,118,1959800,214,501
2020,2020-04-11,98,"baby pluto","lil uzi vert",0,"english",895,0,0,0,50,2859371,214,501
2020,2020-04-11,99,"into the unknown","idina menzel",0,"english",303,0,0,0,182,1559273,214,501
2020,2020-04-11,100,"july","noah cyrus",0,"english",187,0,0,0,104,2046518,641,161
2020,2020-04-18,1,"toosie slide","drake",0,"english",608,0,0,1,1,16560687,4900,17
2020,2020-04-18,2,"blinding lights","the weeknd",0,"english",259,0,0,0,3,10108556,9107,1
2020,2020-04-18,3,"the box","roddy ricch",0,"english",540,3,0.56,0,2,10147636,6925,5
2020,2020-04-18,4,"dont start now","dua lipa",0,"english",278,0,0,0,7,6471152,8170,2
2020,2020-04-18,5,"life is good","future",0,"english",785,0,0,0,121,1864611,2216,41
2020,2020-04-18,6,"circles","post malone",0,"english",314,0,0,0,18,4816138,6354,8
2020,2020-04-18,7,"adore you","harry styles",0,"english",303,0,0,0,22,4246941,7816,3
2020,2020-04-18,8,"say so","doja cat",0,"english",460,0,0,0,9,6105460,6539,7
2020,2020-04-18,9,"intentions","justin bieber",0,"english",470,0,0,0,13,5135778,5025,11
2020,2020-04-18,10,"everything i wanted","billie eilish",0,"english",305,0,0,0,41,3164196,7122,4
2020,2020-04-18,11,"someone you loved","lewis capaldi",0,"english",323,0,0,0,36,3412543,3722,15
2020,2020-04-18,12,"the bones","maren morris",0,"english",319,0,0,1,201,1438781,5319,10
2020,2020-04-18,13,"my oh my","camila cabello",0,"english",443,0,0,0,61,2467502,6796,6
2020,2020-04-18,14,"savage","megan thee stallion",0,"english",410,0,0,0,10,6024206,986,111
2020,2020-04-18,15,"memories","maroon 5",0,"english",442,0,0,0,76,2276850,3945,14
2020,2020-04-18,16,"roxanne","arizona zervas",0,"english",355,0,0,0,20,4708133,2001,50
2020,2020-04-18,17,"hot girl bummer","blackbear",0,"english",513,0,0,0,38,3339261,2447,32
2020,2020-04-18,18,"blueberry faygo","lil mosey",0,"english",549,0,0,0,4,10026095,859,129
2020,2020-04-18,19,"heartless","the weeknd",0,"english",378,0,0,0,120,1866733,504,209
2020,2020-04-18,20,"i hope","gabby barrett",0,"english",471,0,0,0,116,1905754,2951,23
2020,2020-04-18,21,"dance monkey","tones and i",0,"english",434,0,0,0,25,4035082,2327,37
2020,2020-04-18,22,"find my way","dababy",0,"english",670,0,0,1,5,6782424,213,501
2020,2020-04-18,23,"falling","trevor daniel",0,"english",328,0,0,0,108,1951469,2509,29
2020,2020-04-18,24,"nobody but you","blake shelton",0,"english",352,0,0,0,201,1438781,2858,25
2020,2020-04-18,25,"heart on ice","rod wave",0,"english",262,0,0,1,47,2883776,2770,39
2020,2020-04-18,26,"ballin","dj mustard",0,"english",577,5,0.87,0,32,3644276,2942,24
2020,2020-04-18,27,"chasin you","morgan wallen",0,"english",325,0,0,0,84,2138072,2598,27
2020,2020-04-18,28,"ritmo bad boys for life","black eyed peas",0,"english",600,281,46.83,0,201,1438781,213,501
2020,2020-04-18,29,"catch","brett young",0,"english",365,0,0,1,201,1438781,3097,20
2020,2020-04-18,30,"roses","saint jhn",0,"english",346,0,0,0,6,6711902,551,190
2020,2020-04-18,31,"high fashion","roddy ricch",0,"english",629,4,0.64,0,15,4936637,1739,59
2020,2020-04-18,32,"stupid love","lady gaga",0,"english",335,0,0,0,167,1575165,3339,18
2020,2020-04-18,33,"death bed","powfu",0,"english",457,0,0,0,11,5767755,954,114
2020,2020-04-18,34,"10000 hours","dan and shay",0,"english",319,0,0,0,58,2525672,2214,42
2020,2020-04-18,35,"bop","dababy",0,"english",708,0,0,0,40,3175647,3034,22
2020,2020-04-18,36,"whats poppin","jack harlow",0,"english",529,2,0.38,0,8,6390818,607,172
2020,2020-04-18,37,"more hearts than mine","ingrid andress",0,"english",305,0,0,0,201,1438781,2362,34
2020,2020-04-18,38,"no guidance","chris brown",0,"english",612,0,0,0,129,1789386,2057,49
2020,2020-04-18,39,"break my heart","dua lipa",0,"english",505,0,0,0,30,3720734,2201,43
2020,2020-04-18,40,"hard to forget","sam hunt",0,"english",410,0,0,0,162,1596043,1071,100
2020,2020-04-18,41,"i love me","demi lovato",0,"english",472,0,0,0,114,1915956,2669,26
2020,2020-04-18,42,"slow dance in a parking lot","jordan davis",0,"english",277,0,0,0,201,1438781,213,501
2020,2020-04-18,43,"suicidal","ynw melly",0,"english",442,0,0,0,53,2727368,213,501
2020,2020-04-18,44,"sunday best","surfaces",0,"english",236,0,0,0,17,4824543,1472,72
2020,2020-04-18,45,"slide","her",0,"english",560,6,1.07,0,201,1438781,3084,21
2020,2020-04-18,46,"turks","nav",0,"english",660,0,0,0,12,5646010,254,419
2020,2020-04-18,47,"in your eyes","the weeknd",0,"english",325,0,0,0,21,4546497,1825,58
2020,2020-04-18,48,"homesick","kane brown",0,"english",274,0,0,0,201,1438781,1867,56
2020,2020-04-18,49,"best on earth","russ",0,"english",485,0,0,0,201,1438781,3263,19
2020,2020-04-18,50,"does to me","luke combs",0,"english",384,0,0,0,201,1438781,2071,47
2020,2020-04-18,51,"i hope youre happy now","carly pearce",0,"english",224,0,0,0,201,1438781,1838,57
2020,2020-04-18,52,"you should be sad","halsey",0,"english",391,0,0,0,65,2424709,2126,46
2020,2020-04-18,53,"godzilla","eminem",0,"english",952,1,0.11,0,26,4023091,571,183
2020,2020-04-18,54,"beer cant fix","thomas rhett",0,"english",336,0,0,0,201,1438781,2353,36
2020,2020-04-18,55,"dior","pop smoke",0,"english",472,0,0,0,181,1510303,884,124
2020,2020-04-18,56,"sum 2 prove","lil baby",0,"english",901,1,0.11,0,60,2480952,707,157
2020,2020-04-18,57,"homemade","jake owen",0,"english",281,0,0,0,201,1438781,1891,54
2020,2020-04-18,58,"believe it","partynextdoor",0,"english",387,0,0,0,33,3638960,853,130
2020,2020-04-18,59,"yo perreo sola","bad bunny",1,"spanish",397,397,100,0,42,3158920,213,501
2020,2020-04-18,60,"walk em down","nle choppa",0,"english",563,1,0.18,0,16,4863678,213,501
2020,2020-04-18,61,"supalonely","benee",0,"english",391,0,0,0,23,4231481,1181,89
2020,2020-04-18,62,"what she wants tonight","luke bryan",0,"english",377,0,0,0,201,1438781,1621,66
2020,2020-04-18,63,"before you go","lewis capaldi",0,"english",323,0,0,0,82,2170765,1625,65
2020,2020-04-18,64,"fuck the world","rod wave",0,"english",325,0,0,1,201,1438781,213,501
2020,2020-04-18,65,"heartless","diplo",0,"english",386,0,0,0,120,1866733,213,501
2020,2020-04-18,66,"tusa","karol g",1,"spanish",431,312,72.39,0,160,1603717,358,288
2020,2020-04-18,67,"pray 4 love","rod wave",0,"english",496,0,0,1,201,1438781,213,501
2020,2020-04-18,68,"come thru","summer walker",0,"english",422,0,0,0,201,1438781,2475,31
2020,2020-04-18,69,"after a few","travis denning",0,"english",312,0,0,0,201,1438781,1989,51
2020,2020-04-18,70,"pussy fairy","jhene aiko",0,"english",351,0,0,0,201,1438781,444,239
2020,2020-04-18,71,"be a light","thomas rhett",0,"english",273,0,0,0,201,1438781,503,212
2020,2020-04-18,72,"myron","lil uzi vert",0,"english",790,0,0,0,28,3923668,213,501
2020,2020-04-18,73,"out west","jackboys",0,"english",492,0,0,0,54,2660549,1107,96
2020,2020-04-18,74,"thief in the night","rod wave",0,"english",290,0,0,1,201,1438781,213,501
2020,2020-04-18,75,"the other side","sza",0,"english",364,0,0,0,201,1438781,2444,33
2020,2020-04-18,76,"tycoon","future",0,"english",617,0,0,1,81,2179100,213,501
2020,2020-04-18,77,"i remember","rod wave",0,"english",514,0,0,1,201,1438781,213,501
2020,2020-04-18,78,"the greatest","rod wave",0,"english",556,0,0,1,201,1438781,213,501
2020,2020-04-18,79,"underdog","alicia keys",0,"english",372,0,0,0,201,1438781,213,501
2020,2020-04-18,80,"oprahs bank account","lil yachty",0,"english",711,0,0,0,43,3154732,985,112
2020,2020-04-18,81,"bluebird","miranda lambert",0,"english",308,0,0,0,201,1438781,922,117
2020,2020-04-18,82,"bitch","megan thee stallion",0,"english",700,0,0,0,201,1438781,1506,71
2020,2020-04-18,83,"if the world was ending","jp saxe",0,"english",464,0,0,0,50,2798130,587,179
2020,2020-04-18,84,"ribbon in the sky","rod wave",0,"english",366,0,0,1,201,1438781,213,501
2020,2020-04-18,85,"emotionally scarred","lil baby",0,"english",735,0,0,0,201,1438781,213,501
2020,2020-04-18,86,"safaera","bad bunny",1,"spanish",711,711,100,0,52,2737967,213,501
2020,2020-04-18,87,"that way","lil uzi vert",0,"english",524,0,0,0,29,3849717,270,381
2020,2020-04-18,88,"the man","taylor swift",0,"english",418,0,0,0,201,1438781,1934,52
2020,2020-04-18,89,"last time i say sorry","kane brown",0,"english",349,0,0,1,201,1438781,213,501
2020,2020-04-18,90,"after hours","the weeknd",0,"english",436,0,0,0,31,3675617,213,501
2020,2020-04-18,91,"ridin roads","dustin lynch",0,"english",367,0,0,0,201,1438781,1308,82
2020,2020-04-18,92,"p2","lil uzi vert",0,"english",609,0,0,0,24,4203645,213,501
2020,2020-04-18,93,"here and now","kenny chesney",0,"english",311,0,0,0,201,1438781,1644,63
2020,2020-04-18,94,"yummy","justin bieber",0,"english",445,2,0.45,0,142,1708439,345,298
2020,2020-04-18,95,"thug life","rod wave",0,"english",398,0,0,1,201,1438781,213,501
2020,2020-04-18,96,"heatin up","lil baby",0,"english",720,6,0.83,0,83,2144484,213,501
2020,2020-04-18,97,"july","noah cyrus",0,"english",187,0,0,0,104,1980235,710,155
2020,2020-04-18,98,"what a man gotta do","jonas brothers",0,"english",401,0,0,0,201,1438781,380,277
2020,2020-04-18,99,"no weakness","rod wave",0,"english",370,0,0,1,201,1438781,213,501
2020,2020-04-18,100,"grace","lil baby",0,"english",815,0,0,0,201,1438781,213,501
2020,2020-04-25,1,"blinding lights","the weeknd",0,"english",259,0,0,0,3,9542185,9882,1
2020,2020-04-25,2,"toosie slide","drake",0,"english",608,0,0,0,1,12704036,1784,58
2020,2020-04-25,3,"the box","roddy ricch",0,"english",540,3,0.56,0,4,9413533,7172,5
2020,2020-04-25,4,"dont start now","dua lipa",0,"english",278,0,0,0,8,5970144,8095,2
2020,2020-04-25,5,"say so","doja cat",0,"english",460,0,0,0,7,5988910,7266,4
2020,2020-04-25,6,"adore you","harry styles",0,"english",303,0,0,0,22,4096177,7568,3
2020,2020-04-25,7,"circles","post malone",0,"english",314,0,0,0,17,4700424,6107,8
2020,2020-04-25,8,"life is good","future",0,"english",785,0,0,0,138,1603234,2306,37
2020,2020-04-25,9,"intentions","justin bieber",0,"english",470,0,0,0,13,4835947,5174,11
2020,2020-04-25,10,"everything i wanted","billie eilish",0,"english",305,0,0,0,44,3022538,6977,7
2020,2020-04-25,11,"someone you loved","lewis capaldi",0,"english",323,0,0,0,36,3325183,3676,15
2020,2020-04-25,12,"my oh my","camila cabello",0,"english",443,0,0,1,66,2312744,6995,6
2020,2020-04-25,13,"the bones","maren morris",0,"english",319,0,0,0,201,1362304,5367,10
2020,2020-04-25,14,"savage","megan thee stallion",0,"english",410,0,0,0,10,5682361,1641,64
2020,2020-04-25,15,"memories","maroon 5",0,"english",442,0,0,0,75,2160084,3596,16
2020,2020-04-25,16,"blueberry faygo","lil mosey",0,"english",549,0,0,0,2,9810213,1116,100
2020,2020-04-25,17,"i hope","gabby barrett",0,"english",471,0,0,0,125,1709798,3146,19
2020,2020-04-25,18,"nobody but you","blake shelton",0,"english",352,0,0,1,201,1362304,3092,20
2020,2020-04-25,19,"roxanne","arizona zervas",0,"english",355,0,0,0,21,4451845,1704,62
2020,2020-04-25,20,"hot girl bummer","blackbear",0,"english",513,0,0,0,40,3189108,2109,43
2020,2020-04-25,21,"heartless","the weeknd",0,"english",378,0,0,0,129,1665134,474,214
2020,2020-04-25,22,"falling","trevor daniel",0,"english",328,0,0,0,106,1897815,2914,23
2020,2020-04-25,23,"level of concern","twenty one pilots",0,"english",423,0,0,1,15,4721238,2106,44
2020,2020-04-25,24,"dance monkey","tones and i",0,"english",434,0,0,0,27,3755149,2017,49
2020,2020-04-25,25,"chasin you","morgan wallen",0,"english",325,0,0,0,84,2085678,2809,27
2020,2020-04-25,26,"roses","saint jhn",0,"english",346,0,0,0,5,6682276,875,128
2020,2020-04-25,27,"ballin","dj mustard",0,"english",577,5,0.87,0,29,3671748,2887,25
2020,2020-04-25,28,"heart on ice","rod wave",0,"english",262,0,0,0,52,2669049,550,191
2020,2020-04-25,29,"high fashion","roddy ricch",0,"english",629,4,0.64,0,16,4706977,2177,38
2020,2020-04-25,30,"death bed","powfu",0,"english",457,0,0,0,9,5688823,1390,79
2020,2020-04-25,31,"ritmo bad boys for life","black eyed peas",0,"english",600,281,46.83,0,201,1362304,210,501
2020,2020-04-25,32,"more hearts than mine","ingrid andress",0,"english",305,0,0,0,201,1362304,2480,34
2020,2020-04-25,33,"stupid love","lady gaga",0,"english",335,0,0,0,187,1417064,3293,18
2020,2020-04-25,34,"10000 hours","dan and shay",0,"english",319,0,0,0,63,2372268,2170,39
2020,2020-04-25,35,"break my heart","dua lipa",0,"english",505,0,0,0,31,3597438,2664,30
2020,2020-04-25,36,"whats poppin","jack harlow",0,"english",529,2,0.38,0,6,6211241,659,162
2020,2020-04-25,37,"catch","brett young",0,"english",365,0,0,0,201,1362304,2902,24
2020,2020-04-25,38,"sunday best","surfaces",0,"english",236,0,0,0,14,4759474,1793,56
2020,2020-04-25,39,"bop","dababy",0,"english",708,0,0,0,45,3021857,2861,26
2020,2020-04-25,40,"no guidance","chris brown",0,"english",612,0,0,0,121,1736573,1928,52
2020,2020-04-25,41,"i love me","demi lovato",0,"english",472,0,0,0,201,1362304,2804,28
2020,2020-04-25,42,"i hope youre happy now","carly pearce",0,"english",224,0,0,0,201,1362304,1785,57
2020,2020-04-25,43,"slide","her",0,"english",560,6,1.07,1,201,1362304,3082,21
2020,2020-04-25,44,"beer cant fix","thomas rhett",0,"english",336,0,0,0,201,1362304,2523,33
2020,2020-04-25,45,"in your eyes","the weeknd",0,"english",325,0,0,0,24,3974346,2089,46
2020,2020-04-25,46,"dior","pop smoke",0,"english",472,0,0,0,173,1449050,1082,104
2020,2020-04-25,47,"suicidal","ynw melly",0,"english",442,0,0,0,55,2547377,210,501
2020,2020-04-25,48,"does to me","luke combs",0,"english",384,0,0,0,201,1362304,2402,35
2020,2020-04-25,49,"hard to forget","sam hunt",0,"english",410,0,0,0,201,1362304,1220,94
2020,2020-04-25,50,"slow dance in a parking lot","jordan davis",0,"english",277,0,0,0,201,1362304,210,501
2020,2020-04-25,51,"find my way","dababy",0,"english",670,0,0,0,19,4483216,210,501
2020,2020-04-25,52,"best on earth","russ",0,"english",485,0,0,0,201,1362304,3037,22
2020,2020-04-25,53,"sum 2 prove","lil baby",0,"english",901,1,0.11,0,89,1995151,724,152
2020,2020-04-25,54,"stupid again","tory lanez",0,"english",675,5,0.74,1,37,3292286,210,501
2020,2020-04-25,55,"after a few","travis denning",0,"english",312,0,0,0,201,1362304,2065,48
2020,2020-04-25,56,"godzilla","eminem",0,"english",952,1,0.11,0,28,3738890,602,171
2020,2020-04-25,57,"before you go","lewis capaldi",0,"english",323,0,0,0,72,2197739,1757,60
2020,2020-04-25,58,"supalonely","benee",0,"english",391,0,0,0,23,3975344,1529,70
2020,2020-04-25,59,"boyfriend","selena gomez",0,"english",307,0,0,1,38,3246729,210,501
2020,2020-04-25,60,"walk em down","nle choppa",0,"english",563,1,0.18,0,11,4852157,220,476
2020,2020-04-25,61,"believe it","partynextdoor",0,"english",387,0,0,0,48,2819637,1256,88
2020,2020-04-25,62,"yo perreo sola","bad bunny",1,"spanish",397,397,100,0,46,2895654,210,501
2020,2020-04-25,63,"turks","nav",0,"english",660,0,0,0,20,4466012,332,304
2020,2020-04-25,64,"broke in a minute","tory lanez",0,"english",384,0,0,1,33,3439830,210,501
2020,2020-04-25,65,"you should be sad","halsey",0,"english",391,0,0,0,80,2124804,794,141
2020,2020-04-25,66,"come thru","summer walker",0,"english",422,0,0,1,201,1362304,2782,29
2020,2020-04-25,67,"homemade","jake owen",0,"english",281,0,0,0,201,1362304,1663,63
2020,2020-04-25,68,"heartless","diplo",0,"english",386,0,0,0,129,1665134,210,501
2020,2020-04-25,69,"tusa","karol g",1,"spanish",431,312,72.39,0,172,1452731,385,260
2020,2020-04-25,70,"pussy fairy","jhene aiko",0,"english",351,0,0,0,201,1362304,514,195
2020,2020-04-25,71,"out west","jackboys",0,"english",492,0,0,0,56,2537192,1276,85
2020,2020-04-25,72,"be a light","thomas rhett",0,"english",273,0,0,0,201,1362304,915,124
2020,2020-04-25,73,"if the world was ending","jp saxe",0,"english",464,0,0,0,49,2814503,645,164
2020,2020-04-25,74,"myron","lil uzi vert",0,"english",790,0,0,0,26,3857325,210,501
2020,2020-04-25,75,"bluebird","miranda lambert",0,"english",308,0,0,0,201,1362304,1001,114
2020,2020-04-25,76,"the other side","sza",0,"english",364,0,0,0,201,1362304,1844,54
2020,2020-04-25,77,"what she wants tonight","luke bryan",0,"english",377,0,0,0,201,1362304,1391,78
2020,2020-04-25,78,"sigues con el","arcangel",1,"spanish",511,507,99.22,1,201,1362304,210,501
2020,2020-04-25,79,"here and now","kenny chesney",0,"english",311,0,0,0,201,1362304,1710,61
2020,2020-04-25,80,"die from a broken heart","maddie and tae",0,"english",292,0,0,0,201,1362304,1086,102
2020,2020-04-25,81,"underdog","alicia keys",0,"english",372,0,0,0,201,1362304,355,283
2020,2020-04-25,82,"emotionally scarred","lil baby",0,"english",735,0,0,0,201,1362304,210,501
2020,2020-04-25,83,"that way","lil uzi vert",0,"english",524,0,0,0,32,3501594,406,246
2020,2020-04-25,84,"dnd","polo g",0,"english",519,0,0,1,69,2273951,210,501
2020,2020-04-25,85,"july","noah cyrus",0,"english",187,0,0,1,90,1993134,766,144
2020,2020-04-25,86,"safaera","bad bunny",1,"spanish",711,711,100,0,58,2511606,210,501
2020,2020-04-25,87,"ridin roads","dustin lynch",0,"english",367,0,0,0,201,1362304,1244,89
2020,2020-04-25,88,"the man","taylor swift",0,"english",418,0,0,0,201,1362304,1908,53
2020,2020-04-25,89,"oprahs bank account","lil yachty",0,"english",711,0,0,0,50,2740076,970,117
2020,2020-04-25,90,"ptsd","g herbo",0,"english",642,0,0,0,34,3404838,210,501
2020,2020-04-25,91,"grace","lil baby",0,"english",815,0,0,0,201,1362304,210,501
2020,2020-04-25,92,"p2","lil uzi vert",0,"english",609,0,0,0,25,3940443,210,501
2020,2020-04-25,93,"in between","scotty mccreery",0,"english",277,0,0,0,201,1362304,1412,77
2020,2020-04-25,94,"yummy","justin bieber",0,"english",445,2,0.45,0,147,1574987,239,439
2020,2020-04-25,95,"captain hook","megan thee stallion",0,"english",692,2,0.29,0,153,1553898,210,501
2020,2020-04-25,96,"ride it","regard",0,"english",433,3,0.69,0,201,1362304,1603,65
2020,2020-04-25,97,"bitch","megan thee stallion",0,"english",700,0,0,0,201,1362304,1510,72
2020,2020-04-25,98,"girl of my dreams","rod wave",0,"english",347,0,0,0,201,1362304,210,501
2020,2020-04-25,99,"bs","jhene aiko",0,"english",469,0,0,0,156,1535512,210,501
2020,2020-04-25,100,"boss bitch","doja cat",0,"english",500,0,0,1,39,3213984,210,501
2020,2020-05-02,1,"blinding lights","the weeknd",0,"english",259,0,0,1,4,9033938,9914,1
2020,2020-05-02,2,"toosie slide","drake",0,"english",608,0,0,0,1,10460797,2236,43
2020,2020-05-02,3,"the box","roddy ricch",0,"english",540,3,0.56,0,5,8675712,7136,4
2020,2020-05-02,4,"dont start now","dua lipa",0,"english",278,0,0,0,10,5536860,7897,3
2020,2020-05-02,5,"say so","doja cat",0,"english",460,0,0,0,9,5769078,8128,2
2020,2020-05-02,6,"circles","post malone",0,"english",314,0,0,0,15,4800879,5945,8
2020,2020-05-02,7,"adore you","harry styles",0,"english",303,0,0,0,26,4006930,7041,6
2020,2020-05-02,8,"intentions","justin bieber",0,"english",470,0,0,0,17,4663659,5545,10
2020,2020-05-02,9,"rockstar","dababy",0,"english",656,0,0,0,2,9768678,207,501
2020,2020-05-02,10,"life is good","future",0,"english",785,0,0,0,145,1657011,2251,40
