"year","date","rank","song","artist","binary","language","total_words","non_e_words","percent","unique","position","streams","spins","radio_rank"
2020,2020-01-04,56,"suicidal","ynw melly",0,"english",442,0,0,0,39,4601276,196,501
2020,2020-01-04,57,"lover","taylor swift",0,"english",284,0,0,0,201,1899349,2432,32
2020,2020-01-04,58,"on chill","wale",0,"english",576,0,0,0,201,1899349,3439,16
2020,2020-01-04,59,"even though im leaving","luke combs",0,"english",340,0,0,0,201,1899349,2703,22
2020,2020-01-04,60,"no idea","don toliver",0,"english",412,0,0,0,46,4319260,196,501
2020,2020-01-04,61,"graveyard","halsey",0,"english",370,0,0,0,161,2114884,2677,24
2020,2020-01-04,62,"my oh my","camila cabello",0,"english",443,0,0,0,36,4714877,388,249
2020,2020-01-04,63,"juicy","doja cat",0,"english",690,0,0,0,196,1920454,2328,37
2020,2020-01-04,64,"the bones","maren morris",0,"english",319,0,0,0,201,1899349,2710,21
2020,2020-01-04,65,"playing games","summer walker",0,"english",269,0,0,0,201,1899349,1839,51
2020,2020-01-04,66,"heat","chris brown",0,"english",659,0,0,0,201,1899349,2664,25
2020,2020-01-04,67,"into the unknown","idina menzel",0,"english",303,0,0,0,114,2528012,196,501
2020,2020-01-04,68,"vibez","dababy",0,"english",599,0,0,0,60,3576586,196,501
2020,2020-01-04,69,"happy xmas war is over","john legend",0,"english",231,0,0,1,32,4874096,196,501
2020,2020-01-04,70,"heart on ice","rod wave",0,"english",262,0,0,0,201,1899349,196,501
2020,2020-01-04,71,"what if i never get over you","lady antebellum",0,"english",291,0,0,0,201,1899349,2505,27
2020,2020-01-04,72,"blinding lights","the weeknd",0,"english",259,0,0,0,31,4905836,380,254
2020,2020-01-04,73,"ridin roads","dustin lynch",0,"english",367,0,0,0,201,1899349,2527,26
2020,2020-01-04,74,"camelot","nle choppa",0,"english",663,2,0.3,0,85,3000144,425,229
2020,2020-01-04,75,"heartache medication","jon pardi",0,"english",240,0,0,0,201,1899349,2370,34
2020,2020-01-04,76,"start wit me","roddy ricch",0,"english",595,0,0,0,94,2828617,196,501
2020,2020-01-04,77,"take what you want","post malone",0,"english",471,0,0,0,106,2612453,366,263
2020,2020-01-04,78,"leave em alone","layton greene",0,"english",526,0,0,0,201,1899349,2997,17
2020,2020-01-04,79,"hate me","ellie goulding",0,"english",557,0,0,1,100,2788619,196,501
2020,2020-01-04,80,"kinfolks","sam hunt",0,"english",377,0,0,0,201,1899349,1939,48
2020,2020-01-04,81,"let me know","juice wrld",0,"english",435,1,0.23,1,68,3344348,196,501
2020,2020-01-04,82,"remember you young","thomas rhett",0,"english",233,0,0,0,201,1899349,2351,35
2020,2020-01-04,83,"death","trippie redd",0,"english",460,0,0,1,84,3080222,196,501
2020,2020-01-04,84,"223s","ynw melly",0,"english",561,0,0,0,53,3801581,196,501
2020,2020-01-04,85,"slide","her",0,"english",560,6,1.07,0,201,1899349,1297,73
2020,2020-01-04,86,"ritmo bad boys for life","black eyed peas",0,"english",600,281,46.83,0,180,1980628,757,119
2020,2020-01-04,87,"watermelon sugar","harry styles",0,"english",233,0,0,0,26,5152495,196,501
2020,2020-01-04,88,"homesick","kane brown",0,"english",274,0,0,0,201,1899349,1629,58
2020,2020-01-04,89,"slow dancing in the dark","joji",0,"english",254,0,0,0,141,2324422,196,501
2020,2020-01-04,90,"easy","danileigh",0,"english",360,0,0,0,201,1899349,196,501
2020,2020-01-04,91,"vete","bad bunny",1,"spanish",376,376,100,0,103,2760590,196,501
2020,2020-01-04,92,"baby sitter","dababy",0,"english",711,0,0,1,201,1899349,1996,45
2020,2020-01-04,93,"nice to meet ya","niall horan",0,"english",278,4,1.44,0,201,1899349,1682,56
2020,2020-01-04,94,"yellow hearts","ant saunders",0,"english",459,0,0,0,101,2771529,196,501
2020,2020-01-04,95,"tip toe","roddy ricch",0,"english",600,7,1.17,0,111,2556171,196,501
2020,2020-01-04,96,"candy","doja cat",0,"english",383,0,0,0,201,1899349,196,501
2020,2020-01-04,97,"best on earth","russ",0,"english",485,0,0,0,201,1899349,1244,76
2020,2020-01-04,98,"tusa","karol g",1,"spanish",431,312,72.39,0,160,2133436,196,501
2020,2020-01-04,99,"enemies","post malone",0,"english",590,0,0,0,155,2175802,1290,74
2020,2020-01-04,100,"south of the border","ed sheeran",0,"english",603,35,5.8,0,201,1899349,1239,77
2020,2020-01-11,1,"circles","post malone",0,"english",314,0,0,1,3,7932216,7274,2
2020,2020-01-11,2,"memories","maroon 5",0,"english",442,0,0,1,28,4416365,5926,5
2020,2020-01-11,3,"the box","roddy ricch",0,"english",540,3,0.56,0,1,12533419,201,501
2020,2020-01-11,4,"someone you loved","lewis capaldi",0,"english",323,0,0,1,23,4729716,5324,6
2020,2020-01-11,5,"roxanne","arizona zervas",0,"english",355,0,0,1,2,9844160,3759,12
2020,2020-01-11,6,"good as hell","lizzo",0,"english",371,0,0,1,93,4099222,7814,1
2020,2020-01-11,7,"dance monkey","tones and i",0,"english",434,0,0,0,9,6520438,3587,14
2020,2020-01-11,8,"highest in the room","travis scott",0,"english",360,3,0.83,1,10,10833666,2988,19
2020,2020-01-11,9,"10000 hours","dan and shay",0,"english",319,0,0,0,45,3298212,6501,3
2020,2020-01-11,10,"lose you to love me","selena gomez",0,"english",359,0,0,0,36,3934852,6025,4
2020,2020-01-11,11,"senorita","shawn mendes",0,"english",357,5,1.4,1,44,3346681,2756,21
2020,2020-01-11,12,"ballin","dj mustard",0,"english",577,5,0.87,0,13,5527310,4145,9
2020,2020-01-11,13,"bop","dababy",0,"english",708,0,0,0,4,7560429,2364,37
2020,2020-01-11,14,"bad guy","billie eilish",0,"english",222,0,0,1,30,4304151,2382,35
2020,2020-01-11,15,"old town road","lil nas x",0,"english",310,0,0,1,87,2330214,595,297
2020,2020-01-11,16,"no guidance","chris brown",0,"english",612,0,0,0,47,3280835,3479,15
2020,2020-01-11,17,"panini","lil nas x",0,"english",212,2,0.94,1,85,2530052,3982,10
2020,2020-01-11,18,"truth hurts","lizzo",0,"english",428,0,0,1,38,3716353,4229,8
2020,2020-01-11,19,"trampoline","shaed",0,"english",218,0,0,0,115,2067884,5119,7
2020,2020-01-11,20,"heartless","the weeknd",0,"english",378,0,0,0,121,2024415,3891,11
2020,2020-01-11,21,"dont start now","dua lipa",0,"english",278,0,0,0,27,4566814,3006,18
2020,2020-01-11,22,"bandit","juice wrld",0,"english",627,0,0,1,7,6851628,500,197
2020,2020-01-11,23,"everything i wanted","billie eilish",0,"english",305,0,0,0,11,5755926,2077,44
2020,2020-01-11,24,"hot","young thug",0,"english",572,0,0,0,95,2272554,2225,41
2020,2020-01-11,25,"only human","jonas brothers",0,"english",329,0,0,1,201,1513809,3678,13
2020,2020-01-11,26,"one man band","old dominion",0,"english",315,0,0,1,134,1886449,2213,42
2020,2020-01-11,27,"woah","lil baby",0,"english",664,1,0.15,0,34,4021843,1414,65
2020,2020-01-11,28,"i dont care","ed sheeran",0,"english",531,0,0,1,113,2071194,2230,40
2020,2020-01-11,29,"sucker","jonas brothers",0,"english",381,0,0,1,116,2063509,2893,20
2020,2020-01-11,30,"even though im leaving","luke combs",0,"english",340,0,0,1,201,1513809,2717,23
2020,2020-01-11,31,"falling","trevor daniel",0,"english",328,0,0,0,42,3373159,201,501
2020,2020-01-11,32,"hot girl bummer","blackbear",0,"english",513,0,0,0,24,4713252,2511,30
2020,2020-01-11,33,"ransom","lil tecca",0,"english",407,0,0,1,37,6002052,452,218
2020,2020-01-11,34,"lover","taylor swift",0,"english",284,0,0,1,201,1513809,2492,31
2020,2020-01-11,35,"adore you","harry styles",0,"english",303,0,0,0,12,5638884,2182,43
2020,2020-01-11,36,"the bones","maren morris",0,"english",319,0,0,0,182,1584999,2722,22
